solute,dG_es_MD,dG_cav_MD,dG_disp_MD,dG_np_MD,dG_tot_MD,dG_tot_expt,dG_es_SLIC,M_w,SASA_VdW,SESA_VdW,SESV_VdW,VdWA_VdW,VdWV_VdW,SASA_Mob,SESA_Mob,SESV_Mob,VdWA_Mob,VdWV_Mob,SASA_Bondii,SESA_Bondii,SESV_Bondii,VdWA_Bondii,VdWV_Bondii,SASAB,SASVB,SASAM,SASVM,SASAV,SASVV,totAB,totAM,totVM,totVB
2_methylbutane,0.01,12.28,-9.77,2.51,2.52,2.38,-0.04,72,261.5,119.5,99.1,119.4,101.4,281.3,133.6,121.5,143.3,110.6,274.8,130.2,119,133.9,115.2,274.8,396.4,281.3,362.6,261.5,358.2,506.169,475.821,241.98,277.99
2_methylhexane,0.01,15.56,-12.57,2.99,3,2.93,-0.06,100,323.8,157.5,135.7,157.3,138.4,346.2,174.4,165.1,189,149.3,338.2,169.6,160.9,175.2,154.9,338.2,510,346.2,471,323.8,464.1,691.647,647.335,330.192,381.82
2_methylpent_1_ene,-0.4,13.06,-9.91,3.15,2.75,1.47,-0.72,84,290.5,136,111.1,135.9,113.7,310.5,150.6,134.4,160.6,122.3,306.2,148.9,136.1,153,131.6,306.2,448.4,310.5,407,290.5,401.9,556.434,512.788,263.446,311.5
2_methylpentan_2_ol,-5.13,14.87,-12.53,2.34,-2.79,-3.92,-5.39,102,305.5,146.8,128,146.6,130.5,323.4,160.3,150.9,174.6,136.2,320.4,159,151.6,165.5,145.2,320.4,481,323.4,442.5,305.5,436.3,636.084,569.563,291.987,351.22
2_methylpentan_3_ol,-4.75,14.36,-11.8,2.56,-2.19,-3.88,-4.25,102,303.1,145.9,126.9,145.7,129.6,322.2,159.6,149.7,173.6,135,318.1,158.2,151,164,144.9,318.1,478,322.2,439,303.1,433.2,636.084,566.507,289.965,351.22
2_methylpentane,0.01,14.14,-11.37,2.77,2.78,2.51,-0.05,86,296.5,140.3,118,140.2,120.4,317.8,156.1,144.2,168.9,130.4,310.5,151.9,140.7,156.9,135.4,310.5,458.1,317.8,421.5,296.5,415.6,598.908,561.578,286.086,329.9
2_methylpropan_1_ol,-5.02,11.74,-9.68,2.06,-2.96,-4.5,-6.21,74,254,114,91.2,113.9,93.1,264,121.9,105.5,130.3,95.7,267.6,124.7,109.9,128.4,106.1,267.6,378.4,264,345.4,254,341,450.606,391.937,199.731,247.38
2_methylpropan_2_ol,-5.31,11.11,-8.89,2.22,-3.09,-4.47,-5.49,74,249.6,112,91.5,111.9,93.5,264.8,122.7,107.7,132,97.6,263.8,122.9,110.3,127.5,105.9,263.8,374.9,264.8,341.4,249.6,337,450.606,398.049,203.775,247.38
2_methylpropane,0.01,10.12,-7.39,2.73,2.74,2.32,-0.04,58,239.4,105,82,104.9,83.9,258.3,118.3,101.5,126.2,92.3,252.3,115.1,99.5,168.6,129.1,252.3,350.6,258.3,319.4,239.4,315.5,413.43,390.064,197.874,226.07
2_methylpropene,-0.45,9.77,-6.98,2.79,2.34,1.16,-0.77,56,231.7,99.8,74.4,99.8,76.3,249.2,111.7,90.5,116.4,83.6,246.9,111.5,94.4,113.7,92,246.9,339.2,249.2,301.8,231.7,299.2,370.956,341.274,175.234,207.66
2_methylpyrazine,-6.99,13.06,-12.17,0.89,-6.1,-5.51,-7.96,94,259.1,116.3,91.2,116.2,93.3,273.9,126.6,106.4,130.2,99.9,278.3,131.8,119,133.5,117.3,278.3,400,273.9,349.6,259.1,346.5,462.915,398.279,212.415,274.11
2_methylpyridine,-4.95,12.81,-11.27,1.54,-3.41,-4.63,-5.43,93,267.2,121.3,96.3,121.2,98.3,283.7,132.8,112.6,136.8,105.4,284.8,136,123.9,137.7,122.1,284.8,412.2,283.7,363.9,267.2,360.5,492.333,427.305,227.419,291.15
2_methyltetrahydrofuran,-3.39,12.93,-11.49,1.44,-1.95,-3.3,-3.45,86,260.9,118.3,96.7,118.3,99,276.9,129.6,114,137.2,104.1,274,129.1,117.2,131.9,114.3,274,393.2,276.9,358.9,260.9,354.6,500.871,449.769,230.032,280.89
2_methylthiophene,-1.9,12.03,-10.35,1.68,-0.22,-1.38,-2.52,98,259.4,116.5,92.3,116.4,94.2,274,126.5,106.2,130.4,99.5,280,133.2,122,135,120.1,280,405.3,274,351,259.4,347.8,437.377,373.102,200.933,264.98
2_naphthol,-8.7,17.36,-16.54,0.82,-7.88,-8.11,-10.42,144,326.1,160.3,137.8,160.2,140.4,335.4,168.3,152.6,174.4,142.9,346.2,177.2,174.4,180.1,171,346.2,534.3,335.4,475.3,326.1,470.3,709.722,577.2,314.096,430.04
2_naphthylamine,-8.83,17.81,-16.85,0.96,-7.87,-7.47,-10.02,143,331.5,164,141.4,163.9,143.9,338.8,170.4,155.2,176.7,145.5,351.5,180.9,178.8,184.3,175.1,351.5,545.1,338.8,485.1,331.5,480,735.867,588.741,318.674,443.6
2_nitroaniline,-7.84,16.41,-16.53,-0.12,-7.96,-7.37,-7.86,138,294.5,141,117.9,140.9,120.1,300.8,145.6,127.7,150.5,119.8,315.8,157.7,150.4,160.4,147.6,315.8,475.5,300.8,418.6,294.5,414.8,587.532,460.022,247.36,350.25
2_nitrophenol,-5.4,16.08,-16.02,0.06,-5.34,-4.58,-9.88,139,291.8,139,115.8,138.9,117.9,298.4,143.9,125.4,148.7,117.6,313,155.6,147.5,158.3,144.7,313,469.2,298.4,413.3,291.8,409.5,561.387,448.481,242.782,336.69
2_nitropropane,-2.54,12.71,-11.78,0.93,-1.61,-3.13,-3.26,89,251.3,111.8,88.8,111.7,91,263.6,120.6,102.8,127.8,93.3,267.8,124.4,109.6,128,106.1,267.8,378.1,263.6,339.6,251.3,335.6,415.89,371.821,190.721,233.25
2_nitrotoluene,-3.79,17.1,-16.45,0.65,-3.14,-3.58,-4.07,137,302.5,146,123.9,145.9,126,315.9,155.6,139.6,161.8,130.3,322.7,162.3,156.3,165.2,153.3,322.7,489.5,315.9,433.9,302.5,429.7,616.95,526.253,280.987,367.29
2_phenylethanol,-7.05,15.69,-13.97,1.72,-5.33,-6.79,-8.68,122,317.1,153.2,130,153.1,132.4,329.3,162.3,145.6,171.6,133.5,335.1,168.3,160.9,172.5,156.5,335.1,507.1,329.3,456.2,317.1,450.8,651.666,542.436,287.38,381.42
2_propoxyethanol,-6.14,14.73,-12.8,1.93,-4.21,-6.4,-11.82,104,315.4,147.6,117,147.5,119.7,326.1,156.2,132.3,165,120.1,329.7,160.3,141.7,164,137.5,329.7,478.6,326.1,440,315.4,433.1,580.521,495.622,251.317,320.61
22_dimethylbutane,0.01,13.53,-11.01,2.52,2.53,2.51,-0.04,86,283.2,134.3,118.7,134.1,120.9,303.6,149.2,143.5,162.7,130.1,297.4,145.7,140.6,152,134.8,297.4,444.6,303.6,408,283.2,402.6,598.908,561.578,286.086,329.9
22_dimethylpentane,0.01,15.08,-12.19,2.89,2.9,2.88,-0.05,100,314.7,153.5,137.5,153.4,140,336.4,169.9,165.9,186.2,149.9,329.5,165.6,162,173.4,155,329.5,502.5,336.4,463.4,314.7,456.8,691.647,647.335,330.192,381.82
22_dimethylpropane,0.01,12.29,-9.7,2.59,2.6,2.51,-0.04,72,260.7,119.6,101.5,119.5,103.2,280.2,133.8,123.2,145.3,111.9,274.4,130.3,120.9,136.2,115.4,274.4,398.1,280.2,364.1,260.7,359.4,506.169,475.821,241.98,277.99
222_trifluoroethanol,-6.05,9.36,-7.26,2.1,-3.95,-4.31,-8.33,100,222.4,93.8,69.9,93.7,71.6,229.2,99,79.2,103.2,73.1,243.7,108.9,91.2,111.3,88.7,243.7,332,229.2,287.2,222.4,284,312.945,247.588,131.787,179.89
224_trimethylpentane,0.02,16.31,-13.4,2.91,2.93,2.89,-0.05,114,327.4,163.2,153.1,163,155.7,349.4,179.8,183.1,197.6,165.8,342.7,175.7,179.4,184.1,171.5,342.7,536,349.4,494.8,327.4,487.8,784.386,733.092,374.298,433.73
225_trimethylhexane,0,18.3,-15.44,2.86,2.86,2.93,-0.06,128,361.2,183.8,173.5,183.5,176.6,384.2,201.7,207.7,223.2,186.9,377.1,197.1,203.3,207.4,193.3,377.1,598.8,384.2,554.6,361.2,546.1,877.125,818.849,418.404,485.65
23_dimethylbuta_13_diene,-1.11,12.17,-9.37,2.8,1.69,0.4,-1.63,82,272.8,126.5,103.3,126.5,105.8,291.2,139.3,122.4,146.4,113.4,290.3,140.4,129.8,144.2,126.2,290.3,425.3,291.2,379,272.8,375.5,513.96,463.998,240.806,293.09
23_dimethylbutane,0.01,13.63,-10.95,2.68,2.69,2.34,-0.04,86,284.6,135.3,118.7,135.1,121,305.1,150.1,143.8,163.5,130.4,298.9,146.7,140.9,152.5,135.4,298.9,446.5,305.1,409.8,284.6,404.5,598.908,561.578,286.086,329.9
23_dimethylnaphthalene,-4.43,19.15,-17.31,1.84,-2.59,-2.78,-4.84,156,362.5,184.6,164,184.5,167.1,383.3,200.2,189.1,209.8,175.9,381.7,201.5,204.7,206,199.7,381.7,606.4,383.3,544.6,362.5,538.7,858.024,741.606,397.002,512.56
23_dimethylpentane,0,15.24,-12.58,2.66,2.66,2.52,-0.05,100,310.4,151.6,136.4,151.4,139.1,331.9,167.5,164.7,183.4,149.3,325.2,163.8,161,170.3,154.6,325.2,497,331.9,457.7,310.4,451.5,691.647,647.335,330.192,381.82
23_dimethylphenol,-6.49,15.51,-13.69,1.82,-4.67,-6.16,-7.52,122,307.6,148.8,126.3,148.8,128.9,322.6,159.6,143.8,166.8,133.5,324.7,163.3,158,166.9,154.1,324.7,493.2,322.6,442.3,307.6,437.9,651.666,550.302,292.614,381.42
23_dimethylpyridine,-4.79,14.54,-13.02,1.52,-3.27,-4.82,-5.25,107,290.9,136.8,112.7,136.7,114.9,309.3,150,132.2,155.5,123.2,308,151.6,142.9,154,140.3,308,458.5,309.3,408.2,290.9,404.1,585.072,513.939,272.12,343.07
234_trimethylpentane,0.01,16.49,-13.64,2.85,2.86,2.56,-0.05,114,329.6,165.2,155.3,165,158.5,351.7,181.7,186.1,201.4,168.6,345.3,178,182.5,187,174.4,345.3,541.6,351.7,500,329.6,493.6,784.386,733.092,374.298,433.73
24_dimethylpentan_3_one,-5.13,15.61,-12.95,2.66,-2.47,-2.74,-5.31,114,323.1,158.5,142.1,158.3,145.2,343.7,174,169.4,192.4,150.3,338.9,171.8,168.9,180.5,160.4,338.9,520.5,343.7,478.4,323.1,471.2,686.349,629.65,323.695,384.73
24_dimethylpentane,0,15.42,-12.53,2.89,2.89,2.83,-0.05,100,306.4,148.8,133.7,148.7,136.5,327.8,164.7,161.5,180,146.3,320.9,160.8,158,167.4,151.8,320.9,489.1,327.8,450.2,306.4,444.3,691.647,647.335,330.192,381.82
24_dimethylphenol,-6.48,15.64,-13.71,1.93,-4.55,-6.01,-7.48,122,314.3,152.1,128,152,130.7,330,163.4,146.3,171.3,135.3,331.6,166.8,159.8,170.7,155.5,331.6,502.3,330,451.2,314.3,446.6,651.666,550.302,292.614,381.42
24_dimethylpyridine,-4.94,15.18,-13.42,1.76,-3.18,-4.86,-5.32,107,297.2,139.8,114,139.7,116.6,316.5,153.6,134.4,159.8,124.8,314.5,154.8,144.8,157.7,141.5,314.5,467.1,316.5,416.6,297.2,412.2,585.072,513.939,272.12,343.07
25_dimethylphenol,-5.97,15.64,-14.06,1.58,-4.39,-5.91,-6.07,122,312,150.6,126.5,150.5,129.4,330,163.3,146,171,135.2,329.6,165.5,158.5,168.9,154.7,329.6,498.8,330,447.3,312,442.7,651.666,550.302,292.614,381.42
25_dimethylpyridine,-4.76,14.75,-12.82,1.93,-2.83,-4.72,-5.2,107,297.9,140,114.5,139.9,116.8,317.4,154,134.9,160.4,125.2,315,155,144.8,157.9,141.6,315,467.6,317.4,417.5,297.9,413,585.072,513.939,272.12,343.07
25_dimethyltetrahydrofuran,-3.52,13.77,-12.14,1.63,-1.89,-2.92,-3.2,100,293.3,137.5,115.9,137.4,119.1,313.1,151.9,139,163.9,124.6,306.8,149.1,138.7,203.5,166.7,306.8,451.8,313.1,415.8,293.3,410.1,593.61,538.582,276.16,332.81
26_dimethylaniline,-6.51,15.79,-14.15,1.64,-4.87,-5.21,-6.61,121,312.3,152.2,129.8,152.1,132.6,329,163.6,148,171.3,137.3,329.5,166.8,162.3,170.6,158.4,329.5,503.5,329,451.9,312.3,447.3,677.811,561.843,297.192,394.98
26_dimethylnaphthalene,-4.42,19.72,-17.95,1.77,-2.65,-2.63,-4.85,156,369.8,187.6,164.5,187.5,167.8,391.7,203.9,190.4,213.9,176.7,388.8,204.7,205.8,209.3,200.6,388.8,614.7,391.7,552.7,369.8,546.4,858.024,741.606,397.002,512.56
26_dimethylphenol,-5.78,15.67,-13.98,1.69,-4.09,-5.26,-6.13,122,309,149.5,126.4,149.4,129.2,327.3,162.2,145.8,169.9,135.1,326.2,164.1,158.3,167.7,154.4,326.2,495.2,327.3,444.1,309,439.8,651.666,550.302,292.614,381.42
26_dimethylpyridine,-5.15,14.62,-12.83,1.79,-3.36,-4.59,-5.06,107,299.4,140.4,114.2,140.4,116.5,319.7,154.9,134.9,160.9,125.4,315.9,155.3,144.7,158,141.6,315.9,468.2,319.7,418.5,299.4,414.1,585.072,515.464,273.126,343.07
3_acetylpyridine,-8.04,15.76,-14.82,0.94,-7.1,-8.26,-9.78,121,295,139.9,116.7,139.9,119,309.5,150.3,132.7,156.1,124,315.9,156.9,149.2,159.9,146.1,315.9,474,309.5,417.4,295,413.2,579.774,493.852,264.022,345.98
3_chloroaniline,-6.41,14.34,-13.3,1.04,-5.37,-5.82,-7.36,127.5,289.5,135.6,110.9,135.5,113.1,292.3,138.8,119.7,143.5,112,313.2,154.2,144.6,157,141.6,313.2,465.6,292.3,405,289.5,400.7,523.906,406.295,221.771,318.04
3_chlorophenol,-6.38,14.42,-13.32,1.1,-5.28,-6.62,-7.28,128.5,281.1,130.9,107,130.9,109,289,136.6,117.1,141.2,109.5,305.6,149.6,140,152.1,137.4,305.6,452.4,289,391.5,281.1,387.7,497.761,394.754,217.193,304.48
3_chloroprop_1_ene,-1.48,9.51,-7.15,2.36,0.88,-0.57,-2.24,76.5,229.4,97.1,71.2,97.1,73,239.5,104,81,107.2,75.3,251,113,95.1,114.6,93.5,251,344,239.5,295.1,229.4,292.5,309.79,265.371,139.875,182.63
3_chloropyridine,-3.78,12.69,-11.41,1.28,-2.5,-4.01,-4.78,113.5,259.2,117,93.4,117,95.2,269.9,124.5,104.8,127.9,98.7,284.2,136,124.9,137.7,123.1,284.2,412.9,269.9,351.9,259.2,349.2,431.167,356.866,195.693,266.12
3_cyanophenol,-8.16,14.7,-13.58,1.12,-7.04,-9.65,-9.91,119,290.8,135.6,109.9,135.6,112.1,301.9,143.4,122.5,147.7,114.9,315.4,154.9,143.9,157.1,141.6,315.4,466.9,301.9,404.6,290.8,400.7,537.3,428.5,235.532,327.57
3_cyanopyridine,-5.79,14.14,-13.01,1.13,-4.66,-6.75,-7.39,104,268.9,121.7,96.3,121.7,98.3,282.9,131.4,110.2,134.5,104,294,141.2,128.9,142.7,127.4,294,427.4,282.9,365.3,268.9,362.2,470.706,390.612,214.032,289.21
3_ethylphenol,-6.91,16.03,-14.14,1.89,-5.02,-6.25,-7.77,122,316.4,152.9,129.6,152.8,132,330.6,163.5,147.6,173.2,135.4,333.9,167.8,160.5,172.1,156.1,333.9,505.6,330.6,455,316.4,449.8,651.666,549.425,292.019,381.42
3_ethylpyridine,-4.59,14.53,-12.9,1.63,-2.96,-4.59,-5.37,107,294.7,139.1,116,139,118.3,312.1,151.8,135.5,160.3,124.6,312.6,154.2,145.6,157.8,141.9,312.6,466.4,312.1,416.1,294.7,411.5,585.072,511.537,270.519,343.07
3_formylpyridine,-8.22,13.9,-13.32,0.58,-7.64,-7.1,-10.07,107,268.1,123,99.1,123,101.1,278.5,130.4,110.9,134.4,104.2,289.8,139.8,129,141.8,126.9,289.8,423.5,278.5,368.5,268.1,365.2,487.035,405.693,218.315,294.06
3_hydroxybenzaldehyde,-10.18,15.11,-14.17,0.94,-9.24,-9.5,-11.91,122,289.9,136.8,112.6,136.8,114.8,297.2,142.3,123,147.3,114.9,311,153.4,143.9,156,141.1,311,462.7,297.2,407.4,289.9,403.5,553.629,443.581,239.815,332.42
3_methoxyaniline,-8.44,15.71,-14.72,0.99,-7.45,-7.29,-10.08,123,309,147.1,121.4,147.1,124,312.8,151,131.6,156.1,123,327.6,163,153.4,165.8,150.3,327.6,490.6,312.8,437.4,309,432.9,622.248,496.193,261.993,364.38
3_methoxyphenol,-8.1,15.47,-14.4,1.07,-7.03,-7.66,-9.99,124,300.6,142.4,117.6,142.4,119.9,309.4,148.8,129,153.8,120.4,320,158.4,148.7,160.9,146.1,320,477.4,309.4,423.9,300.6,419.9,596.103,484.652,257.415,350.82
3_methyl_1h_indole,-7.53,16.95,-15.97,0.98,-6.55,-5.88,-8.32,131,319.4,155.4,131.7,155.3,134.4,332.1,165,148.6,171.6,138.4,337.5,171.2,166.5,174.3,162.9,337.5,516.3,332.1,461.2,319.4,456.1,685.602,569.938,306.222,410.09
3_methyl_but_1_ene,-0.33,11.03,-7.9,3.13,2.8,1.83,-0.63,70,262.9,118.3,93.8,118.2,96.1,281.4,131.4,113.6,140,102.9,277.7,130.4,115.8,134,111.8,277.7,395.3,281.4,357.3,262.9,353,463.695,426.154,218.745,259.58
3_methylbut_1_ene,-0.34,11.54,-8.53,3.01,2.67,1.82,-0.63,70,262.9,118.3,93.8,118.2,96.1,281.4,131.4,113.6,140,102.9,277.7,130.4,115.8,134,111.8,277.7,395.3,281.4,357.3,262.9,353,463.695,426.154,218.745,259.58
3_methylbutan_1_ol,-5.15,13.48,-11.25,2.23,-2.92,-4.42,-7.28,88,277.8,129.3,108.4,129.2,110.9,289.5,138.5,125.9,148.7,114.5,292.4,140.8,129.8,145.1,125.3,292.4,426.7,289.5,390.8,277.8,385.7,543.345,477.694,243.837,299.3
3_methylbutan_2_one,-5.34,12.67,-10.26,2.41,-2.93,-3.24,-5.82,86,272,125.5,103,125.4,105.2,290.1,138.3,123,148.5,111.5,287.3,137.7,125.8,142.4,121.2,287.3,417,290.1,378.3,272,373.4,500.871,458.136,235.483,280.89
3_methylbutanoic_acid,-6.99,14.05,-12.57,1.48,-5.51,-6.09,-10.38,102,285.1,133.4,112.4,133.3,114.6,294.6,141.4,128.6,152.6,116.3,301.4,146.3,135.8,151.9,130.1,301.4,443,294.6,402.7,285.1,397.3,538.047,466.121,241.384,302.21
3_methylheptane,0.01,17.2,-13.92,3.28,3.29,2.97,-0.07,114,354.4,176.3,154.3,176.1,157.3,378,194.6,187.3,212.3,168.9,369.3,189.2,182.1,196.1,175,369.3,566.8,378,524.8,354.4,517.1,784.386,733.092,374.298,433.73
3_methylhexane,0,15.71,-12.95,2.76,2.76,2.71,-0.05,100,318.5,154.9,137,154.7,139.8,340.5,171.5,166,187.4,149.9,332.9,167.1,161.6,173.8,155.3,332.9,505.8,340.5,466.7,318.5,460.1,691.647,647.335,330.192,381.82
3_methylpentane,0,13.66,-10.94,2.72,2.72,2.51,-0.05,86,292.3,138.4,118.4,138.3,121,313.3,153.9,144.5,167.4,130.6,306.2,150.1,140.7,155.3,135.5,306.2,454,313.3,417.7,292.3,412,598.908,561.578,286.086,329.9
3_methylpyridine,-4.56,12.85,-11.48,1.37,-3.19,-4.77,-5.44,93,265.5,120.9,96.6,120.8,98.7,281.3,131.9,112.5,136.3,105.1,283.8,135.7,124.1,137.6,122,283.8,411.6,281.3,362.7,265.5,359.5,492.333,425.78,226.413,291.15
3_nitroaniline,-8,17.23,-17.47,-0.24,-8.24,-8.84,-9.45,138,302.6,144.9,120.2,144.8,122.4,304.9,147.4,128.6,152.6,120.5,324.6,162.1,153,165.3,149.7,324.6,487.5,304.9,429.7,302.6,425.5,587.532,460.022,247.36,350.25
3_nitrophenol,-7.45,17.09,-17.3,-0.21,-7.66,-9.62,-8.61,139,295.9,140.7,116.5,140.7,118.6,301.6,145.2,126.1,150.3,117.9,318.1,157.9,148.6,160.8,145.6,318.1,475.5,301.6,418.3,295.9,414.2,561.387,448.481,242.782,336.69
3_nitrotoluene,-3.51,17.1,-16.75,0.35,-3.16,-3.45,-4.28,137,312.2,150.4,125.7,150.3,128.1,325.3,160.2,142,166.8,132.3,332.9,167.3,159.1,170.7,155.7,332.9,503.2,325.3,446.2,312.2,441.6,616.95,526.253,280.987,367.29
3_phenylpropanol,-7.38,17.28,-15.4,1.88,-5.5,-6.92,-8.5,136,347.9,172.1,148.2,171.9,150.8,361.3,182.6,167.6,194.6,153.1,366.5,187.8,181.7,192.9,176.2,366.5,563.4,361.3,510.1,347.9,503.5,744.405,628.193,331.486,433.34
33_dimethylbutan_2_one,-5.18,14.16,-11.89,2.27,-2.91,-3.11,-5.62,100,288.1,137.4,121.5,137.3,123.9,306.6,150.8,143.7,164,130.3,303.9,150,145.7,156.6,139.8,303.9,457.4,306.6,416.6,288.1,411.3,593.61,543.893,279.589,332.81
33_dimethylpentane,0.01,15.12,-12.6,2.52,2.53,2.56,-0.04,100,305.3,148.9,137.5,148.7,139.9,326.5,164.6,164.9,180.8,149.9,319.8,160.7,161.7,168.7,154.8,319.8,491.9,326.5,453,305.3,446.9,691.647,647.335,330.192,381.82
333_trimethoxypropionitrile,-6.88,17.25,-15.3,1.95,-4.93,-6.4,-10,145,337.7,165.2,145.1,165,148.1,351,174.8,161.6,186.7,147.5,359.3,183.7,181.2,190.3,174.6,359.3,554.8,351,495.6,337.7,489.1,688.809,589.362,302.211,391.91
34_dimethylphenol,-6.86,15.6,-14.07,1.53,-5.33,-6.5,-7.68,122,308.8,150.2,127.8,150.1,130.2,322.9,160.5,145.2,168,134.9,327,165,159.3,168.9,155.2,327,497.2,322.9,445.6,308.8,441,651.666,550.302,292.614,381.42
34_dimethylpyridine,-4.59,14.58,-13.17,1.41,-3.18,-5.22,-5.39,107,287.6,136.5,114.4,136.4,116.6,304.9,148.9,133.3,155.4,124.3,306.1,151.5,144.3,154.8,141,306.1,458.4,304.9,407.3,287.6,403.3,585.072,512.414,271.114,343.07
35_dimethylphenol,-7.01,15.98,-14.09,1.89,-5.12,-6.27,-7.92,122,317.2,153.1,128,153.1,130.8,332.6,164.4,146.5,172.3,135.3,334.7,168.1,160,171.9,155.7,334.7,505.7,332.6,454.3,317.2,449.4,651.666,550.302,292.614,381.42
35_dimethylpyridine,-4.47,14.39,-12.86,1.53,-2.94,-4.84,-5.3,107,295.9,139.5,114.5,139.4,117,314.7,152.9,134.4,159.6,124.6,313.8,154.6,145,157.7,141.6,313.8,466.7,314.7,415.9,295.9,411.5,585.072,512.414,271.114,343.07
4_acetylpyridine,-8.38,16.07,-15.32,0.75,-7.63,-7.62,-9.98,121,294.6,139.7,116.4,139.7,118.9,308.6,149.8,132.4,155.5,123.8,315.5,156.6,149,159.6,146,315.5,473.3,308.6,416.8,294.6,412.7,579.774,493.852,264.022,345.98
4_bromophenol,-6.59,14.97,-13.85,1.12,-5.47,-7.13,-7.7,172.9,288.1,135.3,111.6,135.2,113.6,294.7,140.1,120.7,145,112.8,313.8,155,146.4,157.6,143.6,313.8,468.3,294.7,403.7,288.1,400.1,503.581,397.793,219.967,310.6
4_bromotoluene,-2.2,15.23,-12.99,2.24,0.04,-1.39,-2.83,170.9,304.4,145,120.8,144.9,123.2,318.3,155.1,136.6,161.6,126.9,328.7,164.3,157.1,167.5,153.8,328.7,496,318.3,431.6,304.4,427.5,559.144,475.565,258.172,341.2
4_chloro_3_methylphenol,-6.38,15.8,-14.32,1.48,-4.9,-6.79,-7.28,142.5,305.6,147.5,124.9,147.4,127.2,316.4,155.3,138.6,162.2,129,328.8,165.8,160.2,169.5,156.3,328.8,500.2,316.4,438.4,305.6,434,590.5,481.388,261.894,356.39
4_chloroaniline,-6.47,14.6,-13.41,1.19,-5.28,-5.9,-7.99,127.5,288.1,135.2,110.9,135.2,112.8,292.4,138.8,119.7,143.5,112,312.3,153.9,144.5,156.7,141.5,312.3,464.6,292.4,403.3,288.1,399.1,523.906,406.295,221.771,318.04
4_chlorophenol,-6.53,14.24,-13.07,1.17,-5.36,-7.03,-7.66,128.5,281.2,130.9,107.1,130.9,109,289,136.6,117.1,141.2,109.5,305.7,149.7,140,152.1,137.4,305.7,452.5,289,391.6,281.2,387.7,497.761,394.754,217.193,304.48
4_cyanophenol,-8.72,14.81,-13.7,1.11,-7.61,-10.17,-10.21,119,290.8,135.6,110,135.6,112.1,302,143.4,122.5,147.7,114.9,315.4,154.9,143.9,157.1,141.6,315.4,466.9,302,404.6,290.8,400.7,537.3,428.5,235.532,327.57
4_cyanopyridine,-5.99,13.79,-12.77,1.02,-4.97,-6.02,-7.46,104,268.7,121.6,96.2,121.6,98.3,282.6,131.3,110.2,134.3,104,293.8,141.1,128.9,142.7,127.4,293.8,427.2,282.6,365.1,268.7,362,470.706,390.612,214.032,289.21
4_ethylphenol,-7.07,16.14,-14.15,1.99,-5.08,-6.13,-8.03,122,316.4,152.9,129.6,152.8,132,330.7,163.5,147.6,173.2,135.3,333.9,167.8,160.5,172.1,156.1,333.9,505.6,330.7,455.1,316.4,449.8,651.666,549.425,292.019,381.42
4_ethylpyridine,-4.72,14.8,-12.95,1.85,-2.87,-4.73,-5.53,107,294.3,139,115.8,138.9,118.2,311.4,151.4,135.3,159.9,124.6,312.3,154.1,145.5,157.7,141.9,312.3,466,311.4,415.8,294.3,411.2,585.072,511.537,270.519,343.07
4_ethyltoluene,-2.78,16.73,-14,2.73,-0.05,-0.95,-2.96,120,332.5,162.5,138.7,162.4,141.5,354.3,178.6,163.5,189.9,149.5,348.7,177.1,171.2,181.9,166.2,348.7,533.2,354.3,482.7,332.5,477,707.229,627.197,330.224,412.03
4_fluorophenol,-6.51,12.89,-11.37,1.52,-4.99,-6.19,-7.69,112,266.2,121.6,97.6,121.6,99.4,276.7,129,109.1,132.9,102.1,287.5,138,126.1,139.9,124.1,287.5,417.8,276.7,364.8,266.2,361.2,482.127,386.966,210.563,289.7
4_formylpyridine,-8.13,14.07,-13.25,0.82,-7.31,-7,-9.85,107,267.9,122.9,98.9,122.8,101,277.9,130.2,110.8,134,104.1,289.5,139.6,128.9,141.6,126.8,289.5,423.1,277.9,368.1,267.9,364.9,487.035,405.693,218.315,294.06
4_hydroxybenzaldehyde,-10.85,15.01,-14.16,0.85,-10,-8.83,-12.93,122,290,136.9,112.7,136.8,114.8,297.2,142.3,123,147.3,114.9,311.1,153.4,143.9,156,141.1,311.1,462.8,297.2,407.5,290,403.6,553.629,443.581,239.815,332.42
4_isopropyltoluene,-2.53,17.37,-14.64,2.73,0.2,-0.68,-2.66,134,356.2,177.9,156.7,177.7,159.8,379.2,195,184.6,207.7,168.8,372.2,193,191.6,198.9,185.5,372.2,581.1,379.2,529.2,356.2,522.2,799.968,712.954,374.33,463.94
4_methoxyacetophenone,-7.89,18.68,-17.08,1.6,-6.29,-4.4,-9.96,150,346.2,171.1,146.9,171,149.8,360.8,182,165,190,153.5,366.7,188.9,184.5,192.9,180.4,366.7,567.2,360.8,506.2,346.2,500.8,739.107,630.496,333.229,436.25
4_methoxyaniline,-8.09,15.73,-14.56,1.17,-6.92,-7.48,-10.24,123,307.6,146.8,121.5,146.7,123.8,312.8,151.1,131.7,156.3,123,326.7,162.7,153.3,165.5,150.3,326.7,489.7,312.8,435.8,307.6,431.4,622.248,496.193,261.993,364.38
4_methyl_1h_imidazole,-8.85,11.99,-11.13,0.86,-7.99,-10.27,-9.29,82,245.9,107,80.8,107,82.8,253.3,113.1,91.8,116,86.1,262.8,121,105,122.4,103.5,262.8,367.7,253.3,323.6,245.9,320.6,412.65,340.799,180.403,240.6
