Compound,methanol,ethanol,propanol,butanol,dimethylofrmamide,acetonitrile,dimethylsulfoxide,propanone,cyclohexane,diethylether,dibuthylether,octanol,benzene,chlorofom,12dichloroethane,19decadiene,butylacetate,water,nitrobenzene,nitromethane
m_xylene,,,,,-5.17,-4.98,,,-5.54,-5.54,,-5.19,,-5.84,-5.96,,-6.05,-0.83,,
methane,,,,,,,,,,,,,,,,,,1.99,,
methanesulfonyl_chloride,,,,,,,,,,,,,,,,,,-4.87,,
methanethiol,,,,,,,,,,,,,,,,,,-1.24,,
methanol,-4.93,-4.64,-4.3,-4.72,-4.65,-4.01,,-4.15,-1.71,-3.54,-2.65,-4.09,-2.53,-3.39,-2.95,,-2.73,-5.1,-2.93,
methoxyflurane,,,,,,,,,,,,,,,,,,-1.12,,
methyl_acetate,-3.8,,,,,,,,-2.87,-3.71,,-3.37,-3.85,-4.71,-4.2,-3.23,,-3.13,,
methyl_benzoate,,,,,,-7.83,,,-6.75,,,-6.9,-7.97,-7.73,,,,-3.92,,
methyl_butanoate,,,,,,,,,,,,,,,,,,-2.83,,
methyl_chloroacetate,,,,,,,,,,,,,,,,,,-4,,
methyl_cyanoacetate,,,,,,,,,,,,,,,,,,-6.72,,
methyl_cyclohexanecarboxylate,,,,,,,,,,,,,,,,,,-3.3,,
methyl_cyclohexyl_ketone,,,,,,,,,,,,,,,,,,-3.9,,
methyl_cyclopropanecarboxylate,,,,,,,,,,,,,,,,,,-4.1,,
methyl_cyclopropyl_ketone,,,,,,,,,,,,,,,,,,-4.61,,
methyl_ethyl_ether,,,,,,,,,,,,,,,,,,-2.1,,
methyl_ethyl_sulfide,,,,,,,,,,,,,,,,,,-1.5,,
methyl_formate,,,,,,,,,,,,,,,,,,-2.78,,
methyl_hexanoate,,,,,,,,,,,,,,,,,,-2.49,,
methyl_isopropyl_ether,,,,,,,,,,,,,,,,,,-2.01,,
methyl_methanesulfonate,,,,,,,,,,,,,,,,,,-4.87,,
methyl_octanoate,,,,,,,,,,,,,,,,,,-2.04,,
methyl_p_methoxybenzoate,,,,,,,,,,,,,,,,,,-5.33,,
methyl_p_nitrobenzoate,,,,,,,,,,,,,,,,,,-6.88,,
methyl_pentanoate,,,,,,,,,,,,,,,,,,-2.56,,
methyl_propanoate,,,,,,,,,,,,,,,,,,-2.93,,
methyl_propyl_ether,,,,,,,,,,,,,,,,,,-1.66,,
methyl_t_butyl_ether,,,,,,,,,,,,,,,,,,-2.21,,
methyl_tert_butyl_ether,,,,,,,,,,,,,,,,,,-2.21,,
methyl_trifluoroacetate,,,,,,,,,,,,,,,,,,-1.1,,
methyl_trimethylacetate,,,,,,,,,,,,,,,,,,-2.4,,
methylamine,,,,-2.89,-2.66,,,,,-2.32,,,,,,,,-4.55,,
methylcyclohexane,,,,,,,,,,,,,,,,,,1.7,,
methylcyclopentane,,,,,,,,,,,,,,,,,,1.59,,
morpholine,,,,,,,,,,,,,,,,,,-7.17,,
N_acetylpyrrolidine,,,,,,,,,,,,,,,,,,-9.8,,
n_butane,-1.74,-1.91,-1.98,-1.96,-1.48,,,-1.7,-2.85,,-2.44,-1.86,,,,,,2.07,,
n_butanethiol,,,,,,,,,,,,,,,,,,-0.99,,
n_butyl_acetate,-5.44,,,,,,,,-5.02,,-5.72,-5.06,-5.87,-6.79,-6.01,,-5.57,-2.64,,
n_butylacetamide,,,,,,,,,-6.73,,,,,,,,,-9.31,,
n_butylamine,,,,,,,,,,,,,,,,,,-4.24,,
n_butylbenzene,,,,,,,,,,,,,,,,,,-0.4,,
n_decane,,,,,,,,,,,,,,,,,,3.16,,
n_heptane,-3.35,-3.69,-3.73,-3.87,-3.16,-3.15,-2.1,-3.81,-4.73,,-4.51,-3.69,-4.5,-4.57,-4.06,,-4.22,2.67,,
n_heptylamine,,,,,,,,,,,,,,,,,,-3.79,,
n_hexane,-2.8,-3.05,-3.1,-3.31,-2.72,-2.68,-1.73,-3.24,-4.07,,-3.85,-3.02,-3.63,-3.9,-3.42,,-3.58,2.48,,
n_hexyl_acetate,,,,,,,,,,,,,,,,,,-2.26,,
n_hexylamine,,,,,,,,,,,,,,,,,,-3.95,,
n_hexylbenzene,,,,,,,,,,,,,,,,,,-0.04,,
N_methyl_N__222_trifluoroethyl__aniline,,,,,,,,,,,,,,,,,,-1.92,,
N_methylacetamide,,,,,,,,,,,,-8.57,,,,,,-10,,
N_methylaniline,,,,,,,,,,,,,,,,,,-4.69,,
N_methylmorpholine,,,,,,,,,,,,,,,,,,-6.32,,
N_methylpiperazine,,,,,,,,,,,,,,,,,,-7.77,,
N_methylpiperidine,,,,,,,,,,,,,,,,,,-3.88,,
n_nonane,,,,,,,,,,,,-4.55,,,,,,3.13,,
n_octane,-3.85,-4.31,-4.31,-4.53,-3.84,-3.66,-2.87,-4.42,-5.64,-5.33,-5.24,-4.12,-5.36,-5.29,-4.68,,-4.84,2.88,,-3.15
n_octylamine,,,,,,,,,,,,,,,,,,-3.65,,
n_pentane,-2.27,-2.42,-2.46,-2.72,-2.07,-2.09,-1.48,-2.71,-3.49,,-3.17,-2.46,-3,-3.22,-2.71,,-2.92,2.32,,
n_pentyl_acetate,,,,,,,,,,,,,,,,,,-2.51,,
n_pentyl_propanoate,,,,,,,,,,,,,,,,,,-2.11,,
n_pentylamine,,,,,,,,,,,,,,,,,,-4.09,,
n_pentylbenzene,,,,,,,,,,,,,,,,,,-0.23,,
n_pentylcyclopentane,,,,,,,,,,,,,,,,,,2.55,,
n_propanethiol,,,,,,,,,,,,,,,,,,-1.06,,
n_propyl_acetate,,,,,,,,,,,,,,,,,,-2.79,,
n_propyl_butyrate,,,,,,,,,,,,,,,,,,-2.28,,
n_propyl_formate,,,,,,,,,,,,,,,,,,-2.48,,
n_propyl_propanoate,,,,,,,,,,,,,,,,,,-2.44,,
n_propylamine,,,,,,,,,,,,,,,,,,-4.39,,
n_propylbenzene,,,,,,,,,,,,,,,,,,-0.53,,
n_propylcyclopentane,,,,,,,,,,,,,,,,,,2.13,,
Na,-99.426,-97.992,-97.28,-96.57,-103.728,-97.753,-104.54,,,,,-98.26,,,-95.33,,,-101.3,-93.212,-93.786
naphthalene,-7.01,-7.14,-7.11,,-7.78,-7.68,-7.67,-7.89,-7.04,-7.79,,-6.89,,-7.9,-8.05,,,-2.4,,
nitrobenzene,-6.76,,,,,,,,,,-7.21,-6.64,,-7.78,-8.38,,,-4.12,-7.94,
nitroethane,,,,,,,,,,,,,,,,,,-3.71,,
nitromethane,-4.69,-4.22,-3.88,-3.87,-5.57,-5.48,-5.64,-5.22,-2.76,,-3.53,-4.69,,-4.61,,,,-4.02,-4.9,-5.38
NN_dimethyl_p_methylbenzamide,,,,,,,,,,,,,,,,,,-11.01,,
NN_dimethyl_p_nitrobenzamide,,,,,,,,,,,,,,,,,,-9.76,,
NN_dimethylaniline,,,,,,,,,,,,,,,,,,-11.95,,
NN_dimethylbenzamide,,,,,,,,,,,,,,,,,,-3.45,,
NN_dimethylformamide,,,,,,,,,,,,,,,,,,-7.81,,
non_1_ene,,,,,,,,,,,,,,,,,,2.06,,
nonan_1_ol,,,,,,,,,,,,,,,,,,-3.88,,
nonan_2_one,,,,,,,,,,,,,,,,,,-2.49,,
nonan_5_one,,,,,,,,,,,,,,,,,,-2.64,,
nonanal,,,,,,,,,,,,,,,,,,-2.07,,
o_cresol,,,,,,-7.71,,,,,,,-7.44,,,,,-5.87,-8.16,
o_toluidine,,,,,,,,,,,,,,,,,,-5.53,,
o_xylene,,,,,,,,,,,,,,,,,,-0.9,,
oct_1_ene,,,,,,,,,,,,,,,,,,1.92,,
oct_1_yne,,,,,,,,,,,,,,,,,,0.71,,
octan_1_ol,,,,,,,,,,,,,,,,,,-4.09,,
octan_2_one,,,,,,,,,,,,,,,,,,-2.88,,
octanal,,,,,,,,,,,,,,,,,,-2.29,,
p_cresol,-6.76,,,,-8.35,-7.93,,,-5.65,,,-8.82,-7.34,-7.58,-7.75,,,-6.13,-8.13,
p_dibromobenzene,,,,,,,,,,,,,,,,,,-2.3,,
p_toluidine,,,,,,,,,-6.33,,,-7.46,,-8.22,,,,-5.57,,
p_xylene,-5.08,-5.08,,,-5.5,-5.23,,,,,,-5.08,,,-5.95,,-6.08,-0.8,,
pent_1_ene,,,,,,,,,,,,,,,,,,1.68,,
pent_1_yne,,,,,,,,,,,,,,,,,,0.01,,
penta_14_diene,,,,,,,,,,,,,,,,,,0.93,,
pentachloroethane,,,,,,,,,,,,-5.78,,,,,,-1.39,,
pentan_1_ol,,,,,,,,,-4.22,-6.2,,-6.69,-5.41,-6,-5.55,,,-4.57,,
pentan_2_ol,,,,,,,,,,,,,,,,,,-4.39,,
pentan_2_one,,,,,,,,,,,,,,,,,,-3.52,,
pentan_3_ol,,,,,,,,,,,,,,,,,,-4.35,,
pentan_3_one,,,,,,,,,,,,,,,,,,-3.41,,
pentanal,,,,,,,,,,,,,,,,,,-3.03,,
pentanenitrile,,,,,,,,,,,,,,,,,,-3.52,,
pentanoic_acid,,,,-8.01,,,,,-4.66,-7.85,-7.21,-7.96,-6.01,-6.6,-6.47,,,-6.16,-6.47,
phenanthrene,-9.68,-10.09,-10.01,-9.7,-11.52,-10.35,-10.89,-11.07,-10.33,-10.46,-10.58,-10.04,,-10.77,,,-11.08,-3.88,,
phenol,-7.11,,,-8.16,,-7.7,,,-5.35,-8.13,-7.99,-8.61,-7.1,-7.05,-7.44,,-8.91,-6.61,-7.86,
phenyl_formate,,,,,,,,,,,,,,,,,,-3.82,,
phenyl_methyl_sulfide,,,,,,,,,,,,,,,,,,-2.73,,
phenyl_trifluoroethyl_ether,,,,,,,,,,,,,,,,,,-1.29,,
piperazine,,,,,,,,,,,,,,,,,,-7.4,,
piperidine,,,,,,,,,,-4.82,,-6.25,-5.03,-6.36,,,,-5.11,,
piperidine,,,,,,,,,,,,,,,,,,-5.11,,
prop_2_en_1_ol,,,,,,,,,,,,,,,,,,-5.03,,
propan_1_ol,-5.99,-5.72,-5.42,-5.27,-5.56,-4.7,-5.75,,-2.82,-5.23,-4.28,-5.19,-3.9,-4.44,-4.33,,-4.54,-4.85,,
propan_2_ol,,,,,,,,,,,,,,,,,,-4.74,,
propane,-1.14,,,-1.38,-0.87,,,-1.91,-1.83,,,-1.25,,,,,,1.96,,
propanenitrile,,,,,,,,,,,,,,,,,,-3.84,,
propanoic_acid,,,,,,,,,-3.4,-6.64,-5.87,-6.91,-4.62,-5.29,-5.11,,-6.58,-6.46,-5.38,
propanone,-3.94,-3.77,,-3.5,-4.02,-4.28,-4.06,-4.14,-2.49,-3.51,-2.98,-3.47,-3.73,-4.37,-4.21,,,-3.8,,
propene,,,,,,,,,,,,,,,,,,1.32,,
propionaldehyde,,,,,,,,,,,,,,,,,,-3.43,,
propyne,,,,,,,,,,,,,,,,,,-0.48,,
pyrene,-11.18,-11.29,-11.19,-11.55,-13.17,-11.86,-12.66,-12.69,-11.16,-12.11,-11.86,-11.16,-12.91,,-12.91,,-12.41,-4.52,,
pyridine,-5.15,-5.7,-5.44,-5.51,,,,,-4.27,-4.8,-4.96,-5.57,-5.25,-6.44,-5.67,,-5.3,-4.69,,
pyrrole,,,,,,,,,,,,,,,,,,-4.78,,
pyrrolidine,,,,,,,,,,,,,,,,,,-5.48,,
quinoline,,,,,,,,,,,,,,,,,,-5.72,,
Rb,-76.243,-74.809,-73.98,-73.19,-81.023,-77.199,-81.118,,,,,,,,-72.63,,,-78.6,-74.092,-76.004
sec_butylbenzene,,,,,,,,,,,,,,,,,,-0.45,,
styrene,,,,,,,,,,,,,,,,,,-1.24,,
teflurane,,,,,,,,,,,,,,,,,,0.5,,
tert_butylbenzene,,,,,,,,,,,,,,,,,,-0.44,,
tetrachloroethene,,,,,,,,,,,,,,,,,,0.1,,
tetrachloromethane,-3.64,-3.75,-3.75,,,,,,,-4.39,-4.16,-3.77,,-4.43,,,,0.08,,
tetrafluoromethane,0.95,,1.04,,,,,,,,,1.51,,,,,,3.12,,
tetrahydrofuran,,,,,,,,,,,,,,,,,,-3.47,,
tetrahydropyran,,,,,,,,,,,,,,,,,,-3.12,,
thiophene,,,,,,,,,,,,,,,,,,-1.42,,
thiophenol,,,,,,,,,-3.12,,,-5.99,,-7.6,,,,-2.55,,
toluene,-4.47,-4.47,-4.51,-4.2,-5.09,-4.85,-4.64,-5.08,-4.96,-5.07,-4.88,-4.6,-5.32,-5.53,-5.3,,-5.49,-0.89,,-4.52
trans_14_dimethylcyclohexane,,,,,,,,,,,,,,,,,,2.11,,
triacetyl_glycerol,,,,,,,,,,,,,,,,,,-8.84,,
tribromomethane,,,,,,,,,,,,,,,,,,-2.13,,
trichloroethene,,,,,,,,,,,,-3.74,,,,,,-0.44,,
trichloromethane,-4.23,-4.17,,,,,,,,,-5.32,-3.76,,-4.19,,,,-1.08,,
triethyl_phosphate,,,,,,,,,,,,,,,,,,-7.54,,
triethylamine,-5.42,-4.87,-4.96,-5.05,-3.76,,,,,-4.44,,-5.19,,-5.75,-4.87,,,-3.22,,
trimethoxy_methane,,,,,,,,,,,,,,,,,,-4.42,,
trimethoxymethylbenzene,,,,,,,,,,,,,,,,,,-4.04,,
trimethyl_phosphate,,,,,,,,,,,,,,,,,,-8.7,,
trimethylamine,,0.44,0.29,-0.33,-0.82,,,,-0.6,,,,,,,,,-3.2,,
undecan_2_one,,,,,,,,,,,,,,,,,,-2.15,,
Z_12_dichloroethene,,,,,,,,,,,,,,,,,,-1.17,,
Z_pent_2_ene,,,,,,,,,,,,,,,,,,1.31,,
